master_cusip,dateann,master_deal_no,tmanames,amanames,afinancial,albofirm,alp,dateannorig,form,status,anation,apublic,deal_value
85570W,2019-10-02,3339673040,The Stars Group Inc,Flutter Entertainment plc,No,No,No,2019-01-28,Merger,Completed,United States,Public,6092.661
04269X,2019-06-17,3416141020,Array Biopharma Inc,Pfizer Inc,No,No,No,2019-06-17,Merger,Completed,United States,Public,11371.019
60877T,2020-08-19,3623452020,Momenta Pharmaceuticals Inc,Johnson & Johnson,No,No,No,2020-08-19,Merger,Completed,United States,Public,6550.118
62857M,2020-10-05,3644610020,MyoKardia Inc,Bristol-Myers Squibb Co,No,No,No,2020-10-05,Merger,Completed,United States,Public,13774.921
6F9253,2020-12-07,3657442040,Paysafe Group PLC,Foley Trasimene Acq Corp II,No,No,No,2020-11-06,Merger,Completed,United States,Public,5614
302445,2021-01-04,3682911020,FLIR Systems Inc,Teledyne Technologies Inc,No,No,No,2021-01-04,Merger,Completed,United States,Public,7500.665
192479,2021-02-12,3697628020,Coherent Inc,II-VI Inc,No,No,No,2021-01-18,Merger,Completed,United States,Public,7290.243
4H8593,2021-04-13,3709745040,Grab Holdings Inc,Altimeter Growth Corp,No,No,No,2021-03-10,Merger,Completed,United States,Public,34260
7J0159,2021-04-01,3721496020,Double Eagle III Midco 1 LLC,Pioneer Natural Resources Co,No,No,No,2021-04-01,Merger,Completed,United States,Public,6219.904
9H3662,2021-05-17,3741165020,Warner Media LLC,Discovery Inc,No,No,No,2021-05-17,Merger,Completed,United States,Public,65320
G0625A,2021-07-01,3754418040,Atotech Ltd,MKS Instruments Inc,No,No,No,2021-06-10,Merger,Completed,United States,Public,5065.714
431475,2021-09-02,3777920020,Hill-Rom Holdings Inc,Baxter International Inc,No,No,No,2021-07-28,Merger,Completed,United States,Public,10423.465
8J7943,2021-08-02,3779205040,Afterpay Ltd,Square Inc,No,No,No,2021-08-02,Merger,Completed,United States,Public,27670.55
58428Y,2021-08-02,3779311040,Meggitt PLC,Parker Hannifin Corp,No,No,No,2021-08-02,Merger,Completed,United States,Public,8689.482
42225P,2022-02-28,3810719020,Healthcare Trust of America,Healthcare Realty Trust Inc,No,No,No,2021-10-06,Merger,Completed,United States,Public,7546.038
9C9768,2018-08-14,3821062020,BA Sports Nutrition LLC,Coca-Cola Co,No,No,No,2018-08-14,Merger,Completed,United States,Public,5600
09215C,2022-05-04,3916261020,Black Knight Inc,Intercontinental Exchange Inc,No,No,No,2022-04-05,Merger,Completed,United States,Public,11704.466
928563,2022-05-26,3923437020,VMware Inc,Broadcom Inc,No,No,No,2022-05-22,Merger,Completed,United States,Public,68066.069
Q6651B,2023-02-06,4035462040,Newcrest Mining Ltd,Newmont Corp,No,No,No,2023-02-06,Merger,Completed,United States,Public,18274.606
81181C,2023-03-13,4044786020,Seagen Inc,Pfizer Inc,No,No,No,2023-02-26,Merger,Completed,United States,Public,43836.734
74349U,2023-04-16,4066521020,Prometheus Biosciences Inc,Merck & Co Inc,No,No,No,2023-04-16,Merger,Completed,United States,Public,10925.91
44109J,2023-09-11,4125203020,Hostess Brands Inc,The JM Smucker Co,No,No,No,2023-08-25,Merger,Completed,United States,Public,5555.902
845467,2024-01-11,4147534020,Southwestern Energy Co,Chesapeake Energy Corp,No,No,No,2023-10-17,Merger,Completed,United States,Public,7386.784
42809H,2023-10-23,4147606020,Hess Corp,Chevron Corp,No,No,No,2023-10-23,Merger,Completed,United States,Public,52939.809
48576A,2023-12-22,4173632020,Karuna Therapeutics Inc,Bristol-Myers Squibb Co,No,No,No,2023-12-22,Merger,Completed,United States,Public,14404.398
03662Q,2024-01-16,4173895020,ANSYS Inc,Synopsys Inc,No,No,No,2023-12-22,Merger,Completed,United States,Public,32466.134
37899Y,2024-01-12,4182802020,Global Infrastructure Mgmt LLC,BlackRock Inc,No,No,No,2024-01-12,Merger,Completed,United States,Public,12511.32
418100,2024-04-24,4216240020,HashiCorp Inc,IBM,No,No,No,2024-03-15,Merger,Completed,United States,Public,7681.145
565849,2024-05-29,4240168020,Marathon Oil Corp,ConocoPhillips,No,No,No,2024-05-29,Merger,Completed,United States,Public,17163.027
858912,2024-06-03,4241510020,Stericycle Inc,Waste Management Inc,No,No,No,2024-06-02,Merger,Completed,United States,Public,5846.96
0P1437,2010-04-28,2160530020,E.ON US LLC,PPL Corp,No,No,No,2010-03-02,Merger,Completed,United States,Public,7625
638620,2011-02-28,2284384020,Nationwide Health Properties,Ventas Inc,No,No,No,2011-02-28,Merger,Completed,United States,Public,5793.481
620097,2011-08-15,2336895020,Motorola Mobility Holdings Inc,Google Inc,No,No,No,2011-08-15,Merger,Completed,United States,Public,12449.946
032346,2012-06-29,2400893020,Amylin Pharmaceuticals Inc,Bristol-Myers Squibb Co,No,No,No,2012-03-28,Merger,Completed,United States,Public,7183.422
544147,2014-07-11,2614332020,Lorillard Inc,Reynolds American Inc,No,No,No,2014-03-03,Merger,Completed,United States,Public,27400
67020Y,2021-04-12,2647141020,Nuance Communications Inc,Microsoft Corp,No,No,No,2014-06-16,Merger,Completed,United States,Public,16351.497
307000,2014-07-28,2648357020,Family Dollar Stores Inc,Dollar Tree Inc,No,No,No,2014-06-19,Merger,Completed,United States,Public,8548.255
45822P,2014-06-23,2648906020,Integrys Energy Group Inc,Wisconsin Energy Corp,No,No,No,2014-06-23,Merger,Completed,United States,Public,9046.963
88706M,2014-08-24,2666973040,Tim Hortons Inc,Burger King Worldwide Inc,No,No,No,2014-08-24,Merger,Completed,United States,Public,13396.6
494550,2014-08-10,2667598020,Kinder Morgan Energy Partners,Kinder Morgan Inc,No,No,No,2014-08-10,Merger,Completed,United States,Public,36689.104
49455U,2014-08-10,2667612020,Kinder Morgan Management LLC,Kinder Morgan Inc,No,No,No,2014-08-10,Merger,Completed,United States,Public,10251.332
222816,2014-11-03,2691363020,Covance Inc,Labcorp Holdings Inc,No,No,No,2014-11-03,Merger,Completed,United States,Public,6169.838
229678,2014-12-08,2703228020,Cubist Pharmaceuticals Inc,Merck & Co Inc,No,No,No,2014-12-06,Merger,Completed,United States,Public,9347.548
82682T,2015-07-20,2732375020,Sikorsky Aircraft Corp,Lockheed Martin Corp,No,No,No,2015-03-11,Merger,Completed,United States,Public,9000
10926P,2015-03-31,2732470020,Bright House Networks LLC,Charter Communications Inc,No,No,No,2015-03-12,Merger,Completed,United States,Public,10790.277
756207,2015-07-14,2762357020,Receptos Inc,Celgene Corp,No,No,No,2015-06-10,Merger,Completed,United States,Public,7730.727
80004C,2015-10-21,2811286020,SanDisk Corp,Western Digital Corp,No,No,No,2015-10-13,Merger,Completed,United States,Public,16124.13
01449J,2016-02-01,2915628020,Alere Inc,Abbott Labs,No,No,No,2016-02-01,Merger,Completed,United States,Public,5092.445
391164,2016-05-31,2932929020,Great Plains Energy Inc,Westar Energy Inc,No,No,No,2016-03-10,Merger,Completed,United States,Public,6852.723
067383,2017-04-23,3095587020,CR Bard Inc,Becton Dickinson & Co,No,No,No,2017-04-23,Merger,Completed,United States,Public,23553.475
535678,2016-07-26,2988067020,Linear Technology Corp,Analog Devices Inc,No,No,No,2016-07-26,Merger,Completed,United States,Public,14375.58
87336U,2019-06-10,3033521020,Tableau Software Inc,Salesforce.com Inc,No,No,No,2016-10-19,Merger,Completed,United States,Public,17013.513
68268N,2017-02-01,3065880020,ONEOK Partners LP,ONEOK Inc,No,No,No,2017-02-01,Merger,Completed,United States,Public,9309.236
72348P,2018-06-27,3111445020,Pinnacle Foods Inc,Conagra Brands Inc,No,No,No,2017-05-31,Merger,Completed,United States,Public,8150.165
774341,2017-09-04,3135305020,Rockwell Collins Inc,United Technologies Corp,No,No,No,2017-08-04,Merger,Completed,United States,Public,32048.945
4E1776,2017-10-30,3169961020,CalAtlantic Group Inc,Lennar Corp,No,No,No,2017-10-30,Merger,Completed,United States,Public,5790.219
80589M,2018-01-03,3198733020,SCANA Corp,Dominion Energy Inc,No,No,No,2018-01-03,Merger,Completed,United States,Public,14375.667
30219G,2018-03-08,3221029020,Express Scripts Holding Co,Cigna Corp,No,No,No,2018-03-07,Merger,Completed,United States,Public,69770.18
92553P,2019-08-13,3232310020,Viacom Inc,CBS Corp,No,No,No,2018-04-03,Merger,Completed,United States,Public,11695.389
85207U,2018-04-29,3239609020,Sprint Corp,T-Mobile US Inc,No,No,No,2018-04-10,Merger,Completed,United States,Public,26760.632
233153,2018-04-29,3239737020,DCT Industrial Trust Inc,Prologis Inc,No,No,No,2018-04-29,Merger,Completed,United States,Public,6392.53
03349M,2018-04-30,3239761020,Andeavor Corp,Marathon Petroleum Corp,No,No,No,2018-04-30,Merger,Completed,United States,Public,23037.27
502413,2018-10-14,3298725020,L3 Technologies Inc,Harris Corp,No,No,No,2018-10-14,Merger,Completed,United States,Public,16244.872
585502,2019-03-11,3307066040,Mellanox Technologies Ltd,NVIDIA Corp,No,No,No,2018-11-07,Merger,Completed,United States,Public,6851.212
151020,2019-01-03,3330372020,Celgene Corp,Bristol-Myers Squibb Co,No,No,No,2019-01-03,Merger,Completed,United States,Public,79376.825
548862,2019-01-07,3331067020,Loxo Oncology Inc,Eli Lilly & Co,No,No,No,2019-01-07,Merger,Completed,United States,Public,7985.33
981558,2019-03-18,3365088020,Worldpay Inc,Fidelity Natl Info Svcs Inc,No,No,No,2019-03-18,Merger,Completed,United States,Public,35031.868
127686,2019-06-24,3365110020,Caesars Entertainment Corp,Eldorado Resorts Inc,No,No,No,2019-03-17,Merger,Completed,United States,Public,15466.232
032511,2019-04-24,3381053020,Anadarko Petroleum Corp,Occidental Petroleum Corp,No,No,No,2019-04-12,Merger,Completed,United States,Public,38378.609
755111,2019-06-09,3409687020,Raytheon Co,United Technologies Corp,No,No,No,2019-06-09,Merger,Completed,United States,Public,86831.159
524901,2020-02-18,3515414020,Legg Mason Inc,Franklin Resources Inc,No,No,No,2020-02-18,Merger,Completed,United States,Public,6592.485
2H8656,2020-06-30,3596368020,GCI Liberty Inc,Liberty Broadband Corp,No,No,No,2020-06-30,Merger,Completed,United States,Public,7667.65
4H8568,2020-09-15,3633176020,Opendoor Labs Inc,Soc Cap Hedosophia Hldg II,No,No,No,2020-09-11,Merger,Completed,United States,Public,5000
452907,2020-09-13,3633916020,Immunomedics Inc,Gilead Sciences Inc,No,No,No,2020-09-13,Merger,Completed,United States,Public,20774.505
93572T,2020-09-14,3634146020,TracFone Wireless Inc,Verizon Communications Inc,No,No,No,2020-09-14,Merger,Completed,United States,Public,7218.697
278265,2020-10-08,3645819020,Eaton Vance Corp,Morgan Stanley,No,No,No,2020-10-08,Merger,Completed,United States,Public,6859.291
983919,2020-10-27,3646001020,Xilinx Inc,Advanced Micro Devices Inc,No,No,No,2020-10-08,Merger,Completed,United States,Public,35728.81
40416M,2020-11-16,3660473020,HD Supply Holdings Inc,Home Depot Inc,No,No,No,2020-11-16,Merger,Completed,United States,Public,8713.485
5J6238,2020-12-13,3672639020,TCF Financial Corp,Huntington Bancshares Inc,No,No,No,2020-12-13,Merger,Completed,United States,Public,5920.502
878237,2021-03-22,3715171020,Tech Data Corp,SYNNEX Corp,No,No,No,2021-03-22,Merger,Completed,United States,Public,8850.8
85917A,2021-04-19,3729815020,Sterling Bancorp,Webster Financial Corp,No,No,No,2021-04-19,Merger,Completed,United States,Public,5138.775
4H1435,2021-07-14,3771922040,Avast PLC,NortonLifeLock Inc,No,No,No,2021-07-14,Merger,Completed,United States,Public,8614.137
2C9789,2021-09-21,3802357020,MUFG Union Bank NA,US Bancorp,No,No,No,2021-09-17,Merger,Completed,United States,Public,7970.753
G4807U,2021-11-08,3824569040,Inmarsat PLC,Viasat Inc,No,No,No,2021-11-08,Merger,Completed,United States,Public,7356.363
7E2742,2021-11-09,3828164040,Wolt Enterprises Oy,DoorDash Inc,No,No,No,2021-11-09,Merger,Completed,United States,Public,8110.2
040047,2021-12-13,3845384020,Arena Pharmaceuticals Inc,Pfizer Inc,No,No,No,2021-12-13,Merger,Completed,United States,Public,6679.643
5K9752,2021-12-14,3845965020,3M Co-Food Safety Business,Neogen Corp,No,No,No,2021-12-14,Merger,Completed,United States,Public,5340.419
G11196,2022-05-10,3917838020,Biohaven Pharm Hldg Co Ltd,Pfizer Inc,No,No,No,2022-05-10,Merger,Completed,United States,Public,12599.051
264411,2022-05-10,3917881020,Duke Realty Corp,Prologis Inc,No,No,No,2022-05-10,Merger,Completed,United States,Public,21743.016
37890U,2022-08-08,3958422020,Global Blood Therapeutics Inc,Pfizer Inc,No,No,No,2022-08-05,Merger,Completed,United States,Public,5069.51
82671G,2022-09-05,3958914020,Signify Health Inc,CVS Health Corp,No,No,No,2022-08-07,Merger,Completed,United States,Public,7617.777
636518,2023-01-17,4027634020,National Instruments Corp,Emerson Electric Co,No,No,No,2023-01-17,Merger,Completed,United States,Public,8022.786
5P8724,2023-09-26,4138895020,Liberty Sirius XM Holdings Inc,Sirius XM Holdings Inc,No,No,No,2023-09-26,Merger,Completed,United States,Public,11000.471
15678U,2023-12-06,4165904020,Cerevel Therapeutics Holdings,AbbVie Inc,No,No,No,2023-12-06,Merger,Completed,United States,Public,8700.008
